year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,natural_forest_area_hectares
2007,INDONESIA,ID,SUMATERA BARAT,ID-13,SUMATERA,ID-SM,2586736.669
2007,INDONESIA,ID,SUMATERA SELATAN,ID-16,SUMATERA,ID-SM,856702.6846
2007,INDONESIA,ID,SUMATERA UTARA,ID-12,SUMATERA,ID-SM,1983544.863
2008,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,3561400.313
2008,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,63656.12082
2008,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,65889.93247
2008,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,251778.0942
2008,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,10.8
2008,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,48.39564706
2008,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,339180.8036
2008,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,1901384.223
2008,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,292999.7933
2008,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,87828.25976
2008,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,263742.2118
2008,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,9456209.718
2008,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,1000123.421
2008,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,7669640.37
2008,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,6513296.62
2008,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,3895934.251
2008,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,252415.0444
2008,INDONESIA,ID,KEP. RIAU,ID-21,SUMATERA,ID-SM,221511.7027
2008,INDONESIA,ID,LAMPUNG,ID-18,SUMATERA,ID-SM,262153.7576
2008,INDONESIA,ID,MALUKU,ID-81,MALUKU,ID-ML,3074107.172
2008,INDONESIA,ID,MALUKU UTARA,ID-82,MALUKU,ID-ML,2241114.603
